date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,close_diff_1,adAverage_diff_1,adAverage_pct_1,adclose_pct_1,adclose_diff_1,close_pct_1,close_diff_1_shift_back_1,adAverage_diff_1_shift_back_1,adclose_diff_1_shift_back_1,adclose_pct_1_shift_back_1,adAverage_pct_1_shift_back_1,close_pct_1_shift_back_1,SMA_10,SMA_20,RSI,Stoch,adClose_Lag1,adClose_Lag2,VWAP,ADL,Upper_Band,Middle_Band,Lower_Band,MACD,%K,%D,MoM
2019-08-06,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761,7.5348,43.26440697782032,9.710750722054702e-14,7.761,7.761,,-13514.789385614402,8.346314288228609,7.534799999999997,6.723285711771386,-0.16515780337988595,-28.249999999999904,-28.249999999999872,0.0
2019-08-07,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761,7.526300000000001,43.26440697782032,9.710750722054702e-14,7.761,7.761,,-13514.789385614402,8.324488473982933,7.526299999999996,6.7281115260170585,-0.1497187404684741,-28.249999999999904,-28.249999999999872,0.0
2019-08-08,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761,7.517799999999999,43.26440697782032,9.710750722054702e-14,7.761,7.761,,-13514.789385614402,8.302067964409618,7.517799999999996,6.733532035590374,-0.1359164120852494,-32.13636363636352,-29.545454545454408,0.0
2019-08-09,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761,7.5093000000000005,43.26440697782033,9.710750722054702e-14,7.761,7.761,,-13514.789385614402,8.279020494724723,7.509299999999994,6.739579505275266,-0.12355371706038376,-22.719696969696873,-27.702020202020066,0.0
2019-08-12,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761,7.55195,43.26440697782033,9.710750722054702e-14,7.761,7.761,,-13514.789385614402,8.276899508586105,7.551949999999995,6.827000491413886,-0.11245982532226506,-13.303030303030228,-22.71969696969684,0.0
2019-08-13,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761,7.594600000000002,43.26440697782033,9.710750722054702e-14,7.761,7.761,,-13514.789385614402,8.26099459781665,7.594599999999995,6.92820540218334,-0.10248643634998089,3.0790185216271006e-14,-12.007575757575658,0.0
2019-08-14,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761,7.63725,43.26440697782033,9.710750722054702e-14,7.761,7.761,,-13514.789385614402,8.22721571934237,7.637249999999996,7.047284280657623,-0.09350459101443054,3.0790185216271006e-14,-4.434343434343357,0.0
2019-08-15,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761,7.679900000000001,43.26440697782033,9.710750722054702e-14,7.761,7.761,,-13514.789385614402,8.167224491482985,7.679899999999996,7.192575508517009,-0.08540195331832212,3.0790185216271006e-14,6.236986236116434e-14,0.0
2019-08-16,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761,7.72255,43.26440697782033,9.710750722054702e-14,7.761,7.761,,-13514.789385614402,8.05774932875698,7.7225499999999965,7.387350671243013,-0.07808049126788585,3.0790185216271006e-14,6.236986236116434e-14,0.0
2019-08-19,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,200.0,1820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761,7.761,43.26440697782032,9.710750722054702e-14,7.761,7.761,7.761,-13514.789385614402,7.7609999999999975,7.7609999999999975,7.7609999999999975,-0.07145449688343763,3.0790185216271006e-14,6.236986236116434e-14,0.0
